 ,sa_score,logp,qed,heavy_atom_count,molecular_weight,h_bond_donors,h_bond_acceptors,lipinski_violations,pass_lipinski,ring_3_count,ring_3_prob,ring_4_count,ring_4_prob,ring_5_count,ring_5_prob,ring_6_count,ring_6_prob,ring_7_count,ring_7_prob,ring_8_count,ring_8_prob,ring_9_count,ring_9_prob,ring_10_count,ring_10_prob,ring_11_count,ring_11_prob,total_rings,error
C1=C2C=CNC=C2N=C(NNc2ccc(c3ncccc3C)c(c2)C)N1,3.42514123,3.08334,0.644181377,26,344.1749446,4,6,0,TRUE,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,4,
c1c2[C@@H]3C(=CC[C@H](N)C3)Cc2cnc1OC1=CCC=C(C=C1)F,4.611572188,3.8448,0.844218158,23,310.1481414,1,3,0,TRUE,0,0,0,0,1,0.25,2,0.5,1,0.25,0,0,0,0,0,0,0,0,4,
C1=CC(=C(N)C=C[C@@H]1c1ccc(nc(=N)n1)[C@@H](c1ccnnc1NC=C1CCNCCC1)C)C,4.90703721,3.40947,0.543133617,34,456.274993,4,8,0,TRUE,0,0,0,0,0,0,1,0.25,3,0.75,0,0,0,0,0,0,0,0,4,
[C@H]1(CCCC(=C1)Cl)NC1=C(O)C2=CC[C@@H]3CCC=CN3C2=CC1,4.90975841,4.6166,0.775332634,23,330.149891,2,3,0,TRUE,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,4,
C1(=O)Nc2c(c3ccccc3[nH]2)C=C2C=CC=C[C@H]12,3.715705861,3.2456,0.738197127,19,248.094963,2,1,0,TRUE,0,0,0,0,1,0.25,2,0.5,1,0.25,0,0,0,0,0,0,0,0,4,
C1=CC=C2CN=C(C=C[C@@H]2C=C1)[C@H](N)CCN1CCCC1,4.309596127,2.479,0.860966052,21,283.2048478,1,3,0,TRUE,0,0,0,0,1,0.333333333,0,0,2,0.666666667,0,0,0,0,0,0,0,0,3,
C1[C@H](CN[C@H]1OC)OCC1=CCc2c3c(ncc2C1)NC(=C(C)C)C3,4.774622973,2.7195,0.824942734,25,341.2103271,2,5,0,TRUE,0,0,0,0,2,0.5,2,0.5,0,0,0,0,0,0,0,0,0,0,4,
OC[C@@H](C)[C@@H]1C=NC2=C(C=C1)N1C=C(C(F)(F)CCN1C=N2)F,5.353790356,2.4515,0.847956424,23,326.1354458,1,5,0,TRUE,0,0,0,0,0,0,1,0.333333333,2,0.666666667,0,0,0,0,0,0,0,0,3,
[C@H]1(C=CC2=C3[C@@H]([C@H](F)N(C)C2=C1O)C=CC=C3)C(=O)C1CCCCC1,4.631258895,4.3712,0.758287154,25,341.1791072,1,3,0,TRUE,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,4,
C1=C=CCC(=C=C2[C@H]1[C@H]1C(=N)N[C@H](C[C@@H]1C2)[C@H]1C=CCC=C1)Cl,6.246366208,4.47317,0.54142858,23,324.1393264,2,1,0,TRUE,0,0,0,0,1,0.25,2,0.5,0,0,1,0.25,0,0,0,0,0,0,4,
c1c2N3C(=NCCC3)Cc2c(N)cc1[C@@H]1C(=CCC=C1)O,4.297614283,2.9189,0.614333329,21,281.1528122,2,4,0,TRUE,0,0,0,0,1,0.25,3,0.75,0,0,0,0,0,0,0,0,0,0,4,
N12C(=C(NC1)C=C1CC(=CC=C1)F)C[N@]1[C@@H]2SCNCC1,5.037755128,1.6935,0.769823448,21,306.1314458,2,5,0,TRUE,0,0,0,0,2,0.5,1,0.25,1,0.25,0,0,0,0,0,0,0,0,4,
c12c(C[C@H]3C1=CC=C(CC)C3=O)cccc2,3.317388001,3.1614,0.695495741,16,210.1044651,0,1,0,TRUE,0,0,0,0,1,0.333333333,2,0.666666667,0,0,0,0,0,0,0,0,0,0,3,
C1[N@]2[C@H](N=CC1)C[C@H](C2)OC1=C2N3C4=C(C=CCC4=NNC2=N)CC=C3C1,5.505409045,2.23327,0.789841624,27,362.1855093,2,6,0,TRUE,0,0,0,0,2,0.333333333,3,0.5,1,0.166666667,0,0,0,0,0,0,0,0,6,
FC1=C[C@@H]2CC(=C(C2=NC1)N)c1ccc(O)cc1,3.857199945,2.3899,0.796477278,18,244.1011913,2,3,0,TRUE,0,0,0,0,1,0.333333333,2,0.666666667,0,0,0,0,0,0,0,0,0,0,3,
CCN(C)C1=NCc2n1nc1c2CCN1,3.917513799,0.5205,0.726727346,15,205.1327455,1,5,0,TRUE,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,
C1CCCC1=C1CCNC1=O,2.929838317,1.3769,0.520502152,11,151.099714,1,1,0,TRUE,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,
N[C@@H]1[C@@H](OC2=CCCS2)CC(=C1C(=O)O)F,4.729410772,1.3891,0.785715126,16,245.0521925,2,4,0,TRUE,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,
N1=C(c2cccc(F)c2)NC=C2C=C[C@H](C=CC2=C1)Cl,3.97249128,3.6767,0.782697151,20,286.0673043,1,2,0,TRUE,0,0,0,0,0,0,1,0.333333333,2,0.666666667,0,0,0,0,0,0,0,0,3,
c1cc(C2=CCC3=C(NN4NC=C(C)C=C34)C=C2OC)ccc1,3.670169624,3.3842,0.878020175,23,305.1528122,2,4,0,TRUE,0,0,0,0,1,0.25,2,0.5,1,0.25,0,0,0,0,0,0,0,0,4,
C1c2c(c(C)ccc2C=N)Oc2[nH]c3NC4=CCC=CN4c3c12,4.321195112,4.00799,0.595202975,23,304.1324111,3,4,0,TRUE,0,0,0,0,2,0.4,3,0.6,0,0,0,0,0,0,0,0,0,0,5,
N1(CCCC1)c1ccnc(C2=NNCCC2)c1,2.801059342,1.7693,0.841447142,17,230.1531466,1,4,0,TRUE,0,0,0,0,1,0.333333333,2,0.666666667,0,0,0,0,0,0,0,0,0,0,3,
O=C(N)C1=C2C(=CCC=C2)[C@H](C1)c1c2C[C@@H]3C(=CCc4c3cccc4F)c2cnn1,4.621481712,4.0506,0.831217218,30,397.1590405,1,3,0,TRUE,0,0,0,0,2,0.333333333,4,0.666666667,0,0,0,0,0,0,0,0,0,0,6,
c1ccc(cn1)[C@@H]1CC(=C2C[C@H]3C(=CC=C(F)[C@@H]3F)[C@H]2O)CN1,4.86387866,2.9249,0.783174546,23,316.1387196,2,3,0,TRUE,0,0,0,0,2,0.5,2,0.5,0,0,0,0,0,0,0,0,0,0,4,
c1c(cccc1)[C@H]1Cc2c([nH]c3c2CC=C2[C@@H](CC4=C2C(=C(C=CC4)C=C2N=CC(=N)N=C2)F)N3)N1,5.213474347,5.88717,0.435681201,36,476.212473,4,4,1,TRUE,0,0,0,0,3,0.428571429,2,0.285714286,2,0.285714286,0,0,0,0,0,0,0,0,7,
C1CC[C@H](C)[C@@H]2NN[C@H]3[C@@]12C[C@H]([C@@H]1C=CC=CC(=C1)O)C3=N,5.894691846,2.86157,0.601677139,22,299.1997624,4,4,0,TRUE,0,0,0,0,2,0.5,1,0.25,1,0.25,0,0,0,0,0,0,0,0,4,
[C@@H]1(F)C2=NC(=C3C=CC=CC3)N=C[C@H]2C2=NC(=O)C=C3C4=CNCC=C4N1[C@@H]23,5.752447458,2.1277,0.66161464,28,373.1338884,1,5,0,TRUE,0,0,0,0,1,0.166666667,5,0.833333333,0,0,0,0,0,0,0,0,0,0,6,
[C@@H]12C(=CCCC2)CC(=C2N=C3CC=CCC3=NC2=N)C=C1,4.691440488,4.14977,0.646662917,21,277.1578976,1,2,0,TRUE,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,4,
c1(c2ccccc2)ccc2C3=CCCCNC3=NC(=N)c2c1,2.802489511,3.85787,0.821801903,22,287.1422475,2,2,0,TRUE,0,0,0,0,0,0,3,0.75,1,0.25,0,0,0,0,0,0,0,0,4,
c1c2=NC(=S)CC=c2cc2c1CNC2,3.805872331,0.421,0.616653763,14,202.0564693,1,2,0,TRUE,0,0,0,0,1,0.333333333,2,0.666666667,0,0,0,0,0,0,0,0,0,0,3,
N1C2=CNC3=C(C(=N)[C@@H](N3)c3ccccc3)C2=NC2=C=C(CC=C[C@H]12)OC,5.067583824,2.39267,0.483927599,27,357.1589602,4,6,0,TRUE,0,0,0,0,1,0.2,3,0.6,1,0.2,0,0,0,0,0,0,0,0,5,
C1(=NC(=N)CC=C1)C1=CC=CNC=C1,4.281859197,1.92157,0.643833466,14,185.0952974,2,2,0,TRUE,0,0,0,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,2,
N1[C@@H](C2=C[C@H](N3CNC(=O)C3=O)C(=O)N=C2)Cc2ccccc12,4.23481186,-0.1549,0.743049898,23,310.1065903,2,4,0,TRUE,0,0,0,0,2,0.5,2,0.5,0,0,0,0,0,0,0,0,0,0,4,
N=c1[nH]c2c([nH]1)c(N)cc(c2)CC,3.268258981,1.12007,0.482392146,13,176.1061964,4,2,0,TRUE,0,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,2,
O1[C@@H]([C@@H]2C(=C([C@@H](C=C[C@@H](F)O)C=C2)O)F)CC[C@H]1C,5.188271089,2.9393,0.776564648,19,272.1224009,2,3,0,TRUE,0,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,2,
c1c([C@H]2C=CC3=CC=CCC3=N2)cccc1,3.528480392,3.6248,0.666534704,16,207.1047994,0,1,0,TRUE,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,
C1=CC(=CC(=C[C@H]1N=C1CC(=CC=N1)C)C)F,4.704497537,3.5438,0.657882086,17,230.1219267,0,1,0,TRUE,0,0,0,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,2,
C(=C(C)Nc1ccccc1)(N)c1ccccc1,1.921701747,3.4459,0.837664088,17,224.1313485,2,2,0,TRUE,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,
C1=C2[C@H](CC[C@@H]([C@H]2C=c2c(=N1)n(C[C@H]1C=CCC=C1)c(=N)[nH]2)C)NC,5.425924686,1.35967,0.716381998,25,337.2266459,3,4,0,TRUE,0,0,0,0,1,0.25,2,0.5,1,0.25,0,0,0,0,0,0,0,0,4,
N1=C(C2=C(NN1)C1=CCC=C[C@@H]1N2)CC1=NCNC=C1,5.335055789,0.4254,0.547933413,20,268.1436445,4,6,0,TRUE,0,0,0,0,1,0.25,3,0.75,0,0,0,0,0,0,0,0,0,0,4,
CCCCCC[C@H](C)C(=O)N,2.39014797,2.0782,0.589238715,11,157.1466642,1,1,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
C1c2cc(Cl)c(OC)cc2OC2=C1C1=C[C@H]3CCC[C@H]3[C@@H]([C@H]1C=N2)O,4.629727011,3.9129,0.828540023,25,357.1131712,1,4,0,TRUE,0,0,0,0,1,0.2,4,0.8,0,0,0,0,0,0,0,0,0,0,5,
N1(CCC2=C1C[C@H]1C2=CCC=C1O)C(=O)CC(=O)O,4.199425164,1.7394,0.742095538,19,261.100108,2,3,0,TRUE,0,0,0,0,2,0.666666667,1,0.333333333,0,0,0,0,0,0,0,0,0,0,3,
C(S(O)(C)O)CCCC(=O)O,2.635725611,1.6217,0.564465154,11,182.0612799,3,3,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
O=C1C(=C2C=C[C@H](C(=O)O)C=C2)C=CC=C1,3.312677706,1.8049,0.677028524,16,214.0629942,1,2,0,TRUE,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,
c1cc2c(nc1)NC1=CN=C3CCC[C@H]3N1CN2,4.022841574,1.9845,0.729004173,18,241.1327455,2,5,0,TRUE,0,0,0,0,1,0.25,2,0.5,1,0.25,0,0,0,0,0,0,0,0,4,
C1C=CC2=C(C=C1)CN=C(n1c3CC=CCc3[nH]c1=N)CC2,4.618687381,2.80357,0.690977761,22,292.1687966,2,3,0,TRUE,0,0,0,0,1,0.25,1,0.25,2,0.5,0,0,0,0,0,0,0,0,4,
c1ccc([C@H]2N=C3NC(=N)N=C[C@H]3C=N2)cc1,4.584872319,1.39307,0.744395188,17,225.1014454,2,3,0,TRUE,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,
[C@H]1(F)C2=C(C=Cc3c1n1[C@@H]4[C@H](Cc1n3)CCCC4)NN1CC=C(C=C21)CC,5.155441354,4.5161,0.795516299,27,364.206325,1,4,0,TRUE,0,0,0,0,3,0.5,2,0.333333333,1,0.166666667,0,0,0,0,0,0,0,0,6,
C12=C(C3=C[C@@H](CN=C3C2)CCC)CC2=C(CC[C@@H]2O)N1C,4.855023819,3.1858,0.845075908,21,284.1888634,1,3,0,TRUE,0,0,0,0,2,0.5,2,0.5,0,0,0,0,0,0,0,0,0,0,4,
C12=CC=C3N=CC=CC=C3[C@@H]2CC[C@H]1OC,4.609349754,2.8023,0.656009856,16,213.1153641,0,2,0,TRUE,0,0,0,0,1,0.333333333,1,0.333333333,1,0.333333333,0,0,0,0,0,0,0,0,3,
N=C[C@H]1CC2=C(CCO2)C1,4.803603207,1.72037,0.548280519,10,137.084064,1,2,0,TRUE,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,
n1c([C@H](O)CCCC[C@H]2C[C@@H](C)N=CCC2)ncc2[C@@H]3C=CCC4=C3[C@H](CN4C)c12,5.284556666,4.67,0.550800141,30,406.2732617,1,5,0,TRUE,0,0,0,0,2,0.4,2,0.4,1,0.2,0,0,0,0,0,0,0,0,5,
C(=O)(O)c1ccc2c(cc3c4c([nH]c3n2)c2c3N(CC2)NC2=C(CNC2=Cc3c4)O)c1,3.668036011,3.1619,0.326940371,31,411.1331394,5,6,0,TRUE,0,0,0,0,3,0.428571429,3,0.428571429,1,0.142857143,0,0,0,0,0,0,0,0,7,
C1CC2=NN([C@H]3CC[C@@H]4CCCCC=C34)CC=C2[C@H]2[C@@H]([C@H]3[C@@H](O)CCC[C@@H]3C2)C1,4.96419417,5.4606,0.599461038,29,394.2984138,1,3,1,TRUE,0,0,0,0,2,0.333333333,2,0.333333333,2,0.333333333,0,0,0,0,0,0,0,0,6,
C1CC[C@@H]([C@@H]([C@@H]1[C@@H]1NC(=O)[C@H](NC(C)C)C1)C)N,4.35170711,1.005,0.702879355,18,253.2154125,3,3,0,TRUE,0,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,2,
C1=C[C@@H](C(=CC1(O)O)O)c1ccc(cc1)C(=O)[C@H]1CO[C@H](F)C1,4.431106011,1.9776,0.450243038,23,320.1060019,3,5,0,TRUE,0,0,0,0,1,0.333333333,2,0.666666667,0,0,0,0,0,0,0,0,0,0,3,
C1C2=C(CNC3=C2C=C2CC=CC=C2C3=O)[C@H]([C@@H]([C@@H]2C1=CC(=C([C@H]2O)O)C(=O)O)O)C,5.421088468,1.7502,0.436495584,31,421.1525375,5,6,0,TRUE,0,0,0,0,0,0,4,0.8,1,0.2,0,0,0,0,0,0,0,0,5,
C1=C2C=C(Oc3ccccc3F)C=C[C@@H]2N=CNC1=N,4.021315683,2.56197,0.86652976,20,269.0964402,2,3,0,TRUE,0,0,0,0,0,0,2,0.666666667,1,0.333333333,0,0,0,0,0,0,0,0,3,
N=C1NC=N[C@H](C=C1F)C=C1Cc2cncnc2N1,4.907837049,1.15927,0.705175387,19,258.1029226,3,5,0,TRUE,0,0,0,0,1,0.333333333,1,0.333333333,1,0.333333333,0,0,0,0,0,0,0,0,3,
C1=C(CC2=C(Nc3c(O2)nc(cn3)C)C1)Cl,3.87994881,2.71742,0.751216385,16,235.0512396,1,4,0,TRUE,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,
O1C2=C(NC3=C1C=NCC=C3)CC=CC2,4.519597734,2.02,0.606810202,15,200.094963,1,3,0,TRUE,0,0,0,0,0,0,2,0.666666667,1,0.333333333,0,0,0,0,0,0,0,0,3,
S=C1C2=C(CC=C1)C(=O)C1=C(C=C3C4=C[C@H](CO)C=C([C@@H]4C(=O)N=C3[C@H]1N)F)C2,5.479850551,2.1488,0.648863478,29,408.0943916,2,5,0,TRUE,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,5,
c1(nc2nc3c(c4ccc(F)cc4cc3O)nc2cc1C)C,2.696339982,3.79274,0.395628001,22,293.0964402,1,4,0,TRUE,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,4,
n1c(N=C2CCCN2)[nH]c(=O)c2CC=CCc12,4.08573612,0.8381,0.702198003,17,230.1167611,2,3,0,TRUE,0,0,0,0,1,0.333333333,2,0.666666667,0,0,0,0,0,0,0,0,0,0,3,
c1(cc(ccc1)OC)N=C1N=C2CCCCC2=CC1,3.030897845,4.0703,0.782866702,19,254.1419132,0,2,0,TRUE,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,
[C@H]1(C2=C(C3=C2CNC3=N)OC1=O)O[C@@H]1CCC(=CC)C1,4.981346844,1.57197,0.591051244,20,272.1160924,2,4,0,TRUE,0,0,1,0.25,3,0.75,0,0,0,0,0,0,0,0,0,0,0,0,4,
C(C)C(=O)[C@H]1SC2=C(CC=C(C2)CN)N1,4.643779047,1.5185,0.713639923,15,224.0983341,2,4,0,TRUE,0,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,2,
N=Cc1cc(OC[C@@H]2C[C@H](CC3CCCCC3)NC2=N)ccc1,3.901357492,3.98884,0.695054634,23,313.2154125,3,3,0,TRUE,0,0,0,0,1,0.333333333,2,0.666666667,0,0,0,0,0,0,0,0,0,0,3,
C1(=C[C@@H](C(=CC1)C(=O)c1c(c(=O)n([C@@H]2CC3=C(C[C@H]4C=C(O)[C@@H](O)C=C34)C2)cc1)C)CS)Cl,5.432860383,4.73242,0.426920141,33,483.127107,3,6,0,TRUE,0,0,0,0,2,0.4,3,0.6,0,0,0,0,0,0,0,0,0,0,5,
C1=CC(=CC=C=C2[C@H](O)C(=C)[C@H](C=C12)[C@H]1N[C@@H](SC1=O)C)C,5.692723187,2.6349,0.577054598,22,313.1136498,2,4,0,TRUE,0,0,0,0,1,0.333333333,1,0.333333333,0,0,1,0.333333333,0,0,0,0,0,0,3,
COc1cncc(c2cc(ccc2)C(=O)N)c1,1.832766582,1.8561,0.871465736,17,228.0898776,1,3,0,TRUE,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,
C1N(CCC1)C1=C2CC=CC=C2[C@H](C2=NC(=N)C3=C([C@@H]([C@H](O)c4ccc(N)cc4)NN3)C2)C1,4.881974591,3.11077,0.460473474,33,442.2481096,5,6,0,TRUE,0,0,0,0,3,0.5,3,0.5,0,0,0,0,0,0,0,0,0,0,6,
C1SCC[C@@H]1Oc1c2CC=NC=Nc2n[nH]1,4.772736162,1.5807,0.847598132,16,236.073182,1,5,0,TRUE,0,0,0,0,2,0.666666667,0,0,1,0.333333333,0,0,0,0,0,0,0,0,3,
c1nc2c(CC(=N)N2)cc1C1=CCCCCC1,3.229243505,3.37437,0.772344368,17,227.1422475,2,2,0,TRUE,0,0,0,0,1,0.333333333,1,0.333333333,1,0.333333333,0,0,0,0,0,0,0,0,3,
N1C(=C2CC3=C(N=C(NCC)C3)N2)CCC1,3.951401176,1.198,0.619549236,16,218.1531466,3,4,0,TRUE,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,
C12=C(CC3=C2CCO3)C=C=C(NNN1)C1=CC2=C(CCO2)CC(=C=C1)F,5.261111607,2.983,0.634369543,26,351.138305,3,5,0,TRUE,0,0,0,0,3,0.6,0,0,0,0,2,0.4,0,0,0,0,0,0,5,
O(C(=O)N)CCN1CCC2=C3[C@@H](CO[C@H]13)C(=NC2)c1nc2c(cn1)CCC2,4.362949549,0.8381,0.789087141,27,369.1800896,1,7,0,TRUE,0,0,0,0,2,0.4,3,0.6,0,0,0,0,0,0,0,0,0,0,5,
C12=C(C[C@H](C2)N2CCOCC2)C(=O)N2CC(=NC3=C(CC[C@@H]3C3CCCC3)CC2)O1,5.282792405,3.2504,0.700002972,30,411.2521919,0,5,0,TRUE,0,0,0,0,3,0.5,1,0.166666667,1,0.166666667,1,0.166666667,0,0,0,0,0,0,6,
C1(CC[C@H]2C(=C1)C=C1C(=N[C@@H]3C=CN=CC3=N1)C=C2)(O)O,5.299993353,1.3197,0.656862959,21,281.1164267,2,5,0,TRUE,0,0,0,0,0,0,3,0.75,1,0.25,0,0,0,0,0,0,0,0,4,
C12=C(NC3=C(C2)C2=C(C3)C=NC3=C(OCS3)N2)C=NNC1,5.046434829,1.2562,0.628005971,21,299.084081,3,7,0,TRUE,0,0,0,0,2,0.4,2,0.4,1,0.2,0,0,0,0,0,0,0,0,5,
c1cc(OC)cc(C(=O)N)c1,1.367163413,0.7941,0.679057584,11,151.0633285,1,2,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,
C12=NC3=C(C=C=C(O)C=C3)C[C@H]2c2cnccc2N1,4.77724597,2.8138,0.694996821,19,249.090212,2,4,0,TRUE,0,0,0,0,1,0.25,2,0.5,1,0.25,0,0,0,0,0,0,0,0,4,
C[C@H](c1cc2c(C=CCC2)cc1)N,2.980926605,2.6657,0.693846896,13,173.1204495,1,1,0,TRUE,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,
c12c(cc3c4cc(ccc4oc3c2)OC)[C@@H](C(=S)N1)CN,3.251284384,3.3898,0.710155087,21,298.0775987,2,4,0,TRUE,0,0,0,0,2,0.5,2,0.5,0,0,0,0,0,0,0,0,0,0,4,
C12=CCC=C([C@H]3C[C@@H](F)C=CC=C3)[C@H]2CC2=C1ON=C1C=CC=C(CO)C=C21,5.506732261,4.7884,0.705399996,28,375.1634572,1,3,0,TRUE,0,0,0,0,1,0.2,2,0.4,2,0.4,0,0,0,0,0,0,0,0,5,
FC(F)[C@@H]1C[C@H]([C@H](F)[C@H]1C=C1C(=C2[C@H](NC(=Nc3cc(C)c(F)cc3)N2)C)NCN1C)C(=C(F)C)O,5.616296203,4.90542,0.341893063,36,511.2370517,4,4,1,TRUE,0,0,0,0,3,0.75,1,0.25,0,0,0,0,0,0,0,0,0,0,4,
c1cc(cnc1F)C(=O)N=c1ccc2CC=CCc2cc1,3.035511716,2.6166,0.595007369,21,280.1011913,0,2,0,TRUE,0,0,0,0,0,0,2,0.666666667,1,0.333333333,0,0,0,0,0,0,0,0,3,
c1cccc2[nH]c(=N)sc12,2.701090056,1.70887,0.57365009,10,150.0251692,2,2,0,TRUE,0,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,2,
c1c2c(cnc1)cc([C@@H]1C(=O)NCN1)cc2,3.238563167,0.9528,0.741284764,16,213.090212,2,3,0,TRUE,0,0,0,0,1,0.333333333,2,0.666666667,0,0,0,0,0,0,0,0,0,0,3,
NC[C@@H]1CC=C2CNC[C@@H]3[C@H](NC2=C1)Cc1c2c(cnc(C)c2)[nH]c31,4.686623448,1.86132,0.641402077,25,335.2109958,4,4,0,TRUE,0,0,0,0,2,0.4,2,0.4,0,0,1,0.2,0,0,0,0,0,0,5,
