smiles,sa_score,logp,qed,heavy_atom_count,molecular_weight,h_bond_donors,h_bond_acceptors,lipinski_violations,pass_lipinski,ring_3_count,ring_3_prob,ring_4_count,ring_4_prob,ring_5_count,ring_5_prob,ring_6_count,ring_6_prob,ring_7_count,ring_7_prob,ring_8_count,ring_8_prob,ring_9_count,ring_9_prob,ring_10_count,ring_10_prob,ring_11_count,ring_11_prob,total_rings
COC1=CC=CCC1=O,3.031505546,1.0457,0.521815179,9,124.0524295,0,2,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
CC(CC(=O)O)C(=O)O,2.437777931,0.1818,0.574039608,9,132.0422587,2,2,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COc1cccc(O)c1,1.432291392,1.4008,0.612772549,9,124.0524295,1,2,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
O=C(O)C1C=CCCC1,3.324481847,1.4273,0.539417887,9,126.0680796,1,1,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
COc1ccc(C)cc1,1.009972623,2.00362,0.553237986,9,122.0731649,0,1,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
O=C(O)C(O)C(O)CO,3.162567926,-2.2149,0.352223809,9,136.0371734,4,4,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C1COC(=O)C(O)C1,3.81461377,-1.1367,0.420973197,9,130.0266087,1,4,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
CCNC(=O)C(=O)OC,2.120140382,-0.7045,0.377744029,9,131.0582431,1,3,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cn1cc(F)ccc1=O,2.187897238,0.5244,0.497758383,9,127.043342,0,2,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
O=C(O)CC1CCOC1,2.72103877,0.4976,0.59159045,9,130.0629942,1,2,0,TRUE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
CC(NC(=O)O)C(=O)O,2.447231078,-0.2729,0.483407683,9,133.0375077,3,2,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN1CCOC(=O)C1=O,2.748493392,-0.9984,0.311150011,9,129.0425931,0,3,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
O=c1ccc(O)cn1O,2.920549161,-0.2088,0.473854041,9,127.026943,2,4,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
O=C(O)C(O)C(O)=CO,3.952471638,-0.6107,0.377456065,9,134.0215233,4,4,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C=C1OCOC(O)C1O,4.739467052,-0.8163,0.451980346,9,132.0422587,2,4,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
OCC1OC(O)OCC1O,4.322737047,-1.9691,0.403864304,10,150.0528234,3,5,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
Nc1ccc(C(=O)O)cc1,1.438100136,0.967,0.566589187,10,137.0476785,2,2,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
O=C1CCC(O)C(CO)O1,3.438750078,-0.9548,0.467695919,10,146.0579088,2,4,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
OCC1OC(O)C(O)C1O,3.476499432,-2.5823,0.329343526,10,150.0528234,4,5,0,TRUE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
COc1ccc(C)c(O)c1,1.548177059,1.70922,0.639710713,10,138.0680796,1,2,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
O=C(O)CNC(=O)C(=O)O,2.074944444,-1.7282,0.402510141,10,147.0167723,3,3,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccccc1OC,1.069867169,1.7038,0.618911315,10,138.0680796,0,2,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
CC(=CC(=O)O)CC(=O)O,2.592657674,0.492,0.565097391,10,144.0422587,2,2,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C(O)c1ccccc1O,1.425110392,1.0904,0.610258506,10,138.0316941,2,2,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
O=C1CNC(=O)C(=O)OC1,3.235905264,-1.7715,0.321442292,10,143.0218576,1,4,0,TRUE,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
O=C1OC(O)C(O)OC1O,4.598103911,-2.485,0.330592398,10,150.0164379,3,6,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
O=C1OC(C(=O)O)CC1O,3.660814773,-1.2526,0.451243847,10,146.0215233,2,4,0,TRUE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
O=C1N=C=C2C=CC=CC12,5.035726814,0.8649,0.47917991,10,131.0371138,0,1,0,TRUE,0,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,2
O=C1NCC2CCC=CC12,3.958569884,0.6986,0.489089569,10,137.084064,1,1,0,TRUE,0,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,2
COc1ccc(O)cc1O,1.664156546,1.1064,0.613817827,10,140.0473441,2,3,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
Cc1cc(O)cn(C)c1=O,2.635211379,0.39932,0.564917876,10,139.0633285,1,3,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
O=C1CC(O)C(O)C(O)O1,3.89591752,-2.0265,0.344843342,10,148.0371734,3,5,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
Cc1cc(F)cn(C)c1=O,2.431385343,0.83282,0.524231551,10,141.0589921,0,2,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
Cc1cc(=O)n(C)cc1O,2.515064041,0.39932,0.564917876,10,139.0633285,1,3,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
CC1(C)CCC(C(=O)O)O1,3.257009124,1.0286,0.597456694,10,144.0786442,1,2,0,TRUE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Cc1ccc(C(=O)O)cc1,1.161566803,1.69322,0.637459639,10,136.0524295,1,1,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
O=C1NCC2OCC=CC12,4.287120016,-0.3126,0.467285384,10,139.0633285,1,2,0,TRUE,0,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,2
O=C(O)Cc1ccccc1,1.210756729,1.3137,0.665180233,10,136.0524295,1,1,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
O=C1N=NC2C=CC=CC12,4.608904632,1.0896,0.488550282,10,134.0480128,0,2,0,TRUE,0,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,2
O=C(O)c1cccc(=O)o1,2.161674495,0.338,0.610177589,10,140.0109586,1,3,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
O=C1CCCC(C(=O)O)N1,2.746910899,-0.2603,0.531070993,10,143.0582431,2,2,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
OC1OC(O)C(O)OC1O,4.584001825,-2.6932,0.301368048,10,152.032088,4,6,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
Nc1ccccc1C(=O)O,1.531310392,0.967,0.566589187,10,137.0476785,2,2,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
O=C(O)C(O)C(O)C(=O)O,2.995202642,-2.1226,0.365229185,10,150.0164379,4,4,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C(O)c1cccc(O)c1,1.514484751,1.0904,0.610258506,10,138.0316941,2,2,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
O=C(O)C=CNCC(=O)O,2.766488893,-0.7411,0.453317116,10,145.0375077,3,3,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC(=O)C=CNCC(=O)O,2.95934984,-1.3404,0.425587148,10,144.0534921,3,3,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C1C=C(C(=O)O)CCC1,2.556648854,0.7504,0.584304068,10,140.0473441,1,2,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
Nc1cccc(C(=O)O)c1,1.551084751,0.967,0.566589187,10,137.0476785,2,2,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
O=C1ON=C2C=CC=CC12,4.384045647,0.6414,0.457032645,10,135.0320284,0,3,0,TRUE,0,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,2
COc1cccc(C)c1O,1.591448854,1.70922,0.639710713,10,138.0680796,1,2,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
O=C1CCC(O)C(C(=O)O)N1,3.481747538,-1.2895,0.444002818,11,159.0531578,3,3,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
CC=CC1=C=CC=C1C(=O)O,4.385624952,1.6686,0.604578521,11,148.0524295,1,1,0,TRUE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
O=C(O)c1c(O)cccc1O,1.971589726,0.796,0.55853914,11,154.0266087,3,3,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
O=C1NC(C(=O)O)CCC1O,3.408477511,-1.2895,0.444002818,11,159.0531578,3,3,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
COc1ccc(O)cc1OC,1.452095721,1.4094,0.699496591,11,154.0629942,1,3,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
COc1cccc(C)c1OC,1.484181875,2.01222,0.645011647,11,152.0837296,0,2,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
O=C1CCCC2=C1C=NC2=O,3.163600336,0.647,0.507206177,11,149.0476785,0,2,0,TRUE,0,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,2
Cc1ccc2c(c1)OC=CO2,2.756242163,2.23742,0.56133096,11,148.0524295,0,2,0,TRUE,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2
O=C(O)c1cc(F)ccc1O,1.635505376,1.2295,0.642403546,11,156.0222722,2,2,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
COc1cccc(O)c1OC,1.674368029,1.4094,0.699496591,11,154.0629942,1,3,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
O=C1OC(CO)C(O)OC1O,4.328078096,-2.4425,0.372380333,11,164.032088,3,6,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
Cc1ccc2c(c1)OCCO2,1.722574856,1.76622,0.560744458,11,150.0680796,0,2,0,TRUE,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2
COc1cccc(C(=O)O)c1,1.281058798,1.3934,0.696128835,11,152.0473441,1,2,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
O=C(O)C(O)CC1=CCN=C1,4.201263407,-0.1672,0.59419443,11,155.0582431,2,3,0,TRUE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
O=C1OC(O)C(O)C(O)C1O,4.005746166,-3.0557,0.283141198,11,164.032088,4,6,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
COc1ccc(C(=O)O)cc1,1.171041875,1.3934,0.696128835,11,152.0473441,1,2,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
O=C(O)C(O)c1ccccc1,2.055201869,0.8046,0.658690585,11,152.0473441,2,2,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
CN1C(=O)C(=O)OCC1(C)C,3.139987699,-0.2198,0.360530249,11,157.0738932,0,3,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
O=c1[nH]cnc2ccccc12,2.020461875,0.9231,0.600350962,11,146.0480128,1,2,0,TRUE,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2
O=C(O)C=C1CCCCNC1,2.920095622,0.7709,0.549785188,11,155.0946287,2,2,0,TRUE,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
CC(NC(=O)C(=O)O)C(=O)O,2.535672638,-1.3397,0.43465946,11,161.0324223,3,3,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cc1cccc(CC(=O)O)c1,1.444937259,1.62212,0.695147978,11,150.0680796,1,1,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
OC1OCC2OCOCC2O1,4.670447824,-0.9494,0.497384388,11,162.0528234,1,5,0,TRUE,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2
