smiles,sa_score,logp,qed,heavy_atom_count,molecular_weight,h_bond_donors,h_bond_acceptors,lipinski_violations,pass_lipinski,ring_3_count,ring_3_prob,ring_4_count,ring_4_prob,ring_5_count,ring_5_prob,ring_6_count,ring_6_prob,ring_7_count,ring_7_prob,ring_8_count,ring_8_prob,ring_9_count,ring_9_prob,ring_10_count,ring_10_prob,ring_11_count,ring_11_prob,total_rings,error
C1=N[C@H]2C(=C1)C=CC=C2,4.321920822,1.4918,0.455541635,9,117.0578492,0,1,0,TRUE,0,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,2,
Fc1c(ccc(c1NC(=O)[C@@H]1N=NC(=C1C)c1c2ccc(C(=C3OCOC3)O)cc2n[nH]1)C)CC#N,4.26837104,4.5115,0.450657886,36,488.1608314,3,8,0,TRUE,0,0,0,0,3,0.6,2,0.4,0,0,0,0,0,0,0,0,0,0,5,
C1[C@H](NN1Cc1cc(ncn1)c1cc(cc(N)c1)CN)C1=NCN(CN1)C,4.119996865,-0.2782,0.532769727,27,367.2232918,4,9,0,TRUE,0,0,1,0.25,0,0,3,0.75,0,0,0,0,0,0,0,0,0,0,4,
c1(cn[nH]n1)Nc1ccc2[C@H](C(=O)Nc2c1)C[C@H](CCO[C@H](C=C)CO)C,4.27368575,2.5638,0.477654192,27,371.1957397,4,6,0,TRUE,0,0,0,0,2,0.666666667,1,0.333333333,0,0,0,0,0,0,0,0,0,0,3,
c1sc(NC(=O)CCC=O)nc1,2.364472783,1.0607,0.711635299,12,184.0306485,1,4,0,TRUE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
C1(=C[C@@H]2SC(=CN=C2N1)C)C(=O)N,4.74932359,0.334,0.633434783,13,195.0466329,2,4,0,TRUE,0,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,2,
c1c(ccc(NNNc2cccc(C#N)c2)c1)[C@@H]1CN1CC(=O)O,3.401034809,1.94318,0.456236717,24,323.1382248,4,6,0,TRUE,1,0.333333333,0,0,0,0,2,0.666666667,0,0,0,0,0,0,0,0,0,0,3,
N1N=C(c2cccs2)NC=C1C(=N)NCC[C@H]1[C@@H]2C[C@H]12,4.67761955,1.66677,0.491555799,20,287.1204665,4,5,0,TRUE,2,0.5,0,0,1,0.25,1,0.25,0,0,0,0,0,0,0,0,0,0,4,
[C@@H]1([C@@H](C[C@@H]2C[C@@H](N3Cc4[nH]c5cc(ccc5c4C3=O)ON)CC[N@]12)O)O,4.426754693,0.2922,0.573903971,26,358.1641052,4,6,0,TRUE,0,0,0,0,3,0.6,2,0.4,0,0,0,0,0,0,0,0,0,0,5,
N1=C2C(=C(N=C2N)C[C@H](C2=c3sc4nc(sc4c3=NC2)C(=O)O)C(=O)N)C=C[C@@H]1C,5.202256759,0.3557,0.611624259,30,440.0725304,3,9,0,TRUE,0,0,0,0,4,0.8,1,0.2,0,0,0,0,0,0,0,0,0,0,5,
n1[nH]ccc1NC(=O)[C@H](C(=O)O)N,3.818399085,-1.2399,0.43759756,13,184.0596401,4,4,0,TRUE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
c1cc(cc2c1n(C)cc2)Nc1nc2c(c[nH]c2)s1,2.838733009,3.8597,0.579594615,19,268.0782674,2,4,0,TRUE,0,0,0,0,3,0.75,1,0.25,0,0,0,0,0,0,0,0,0,0,4,
Oc1c(CC)csc1,2.989764274,2.0161,0.61308292,8,128.0295859,1,2,0,TRUE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
CC1(C)C(=CC=C([C@H](c2ncccn2)O)O1)CC,3.937021882,2.5391,0.890068519,18,246.1368278,1,4,0,TRUE,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,
c1c(ccc([C@@H](C2CC2)O)c1)c1ccc(Oc2ccc([C@@H]3C[C@@H]3NC(=O)NC(=O)C3CC3)cc2)cc1,3.349737859,5.681,0.385424456,36,482.2205574,3,4,1,TRUE,3,0.5,0,0,0,0,3,0.5,0,0,0,0,0,0,0,0,0,0,6,
CO[C@H](C)c1cc([C@H](CN)O)sn1,4.227299509,0.8426,0.758927802,13,202.0775987,2,5,0,TRUE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
N(C1=CC=C2C(=CC1)OCCC2)C(=O)NC,3.368131753,1.8237,0.707887311,16,220.1211778,2,2,0,TRUE,0,0,0,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,2,
n1cc(cc2nc(C)[nH]c12)C#N,2.764687715,1.138,0.624717345,12,158.0592462,1,3,0,TRUE,0,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,2,
c1c(cc(cn1)Cl)NC(=O)C1Sc2c(c[nH]c2)S1,3.53077371,3.2257,0.893378274,18,296.9797316,2,4,0,TRUE,0,0,0,0,2,0.666666667,1,0.333333333,0,0,0,0,0,0,0,0,0,0,3,
N(CC1=COC[C@H](C=N)C1)C,4.68803641,0.77577,0.589815967,11,154.1106131,2,3,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,
Cc1cc(ccc1)CNN1CC2=NC(=O)N=C2C1=N,3.331630995,1.30809,0.853994703,19,255.11201,2,3,0,TRUE,0,0,0,0,2,0.666666667,1,0.333333333,0,0,0,0,0,0,0,0,0,0,3,
c1(O)cc2c3cc(N)ccc3[nH]c2cc1,2.071476947,2.6089,0.48605285,15,198.0793129,3,2,0,TRUE,0,0,0,0,1,0.333333333,2,0.666666667,0,0,0,0,0,0,0,0,0,0,3,
O=C(CC(C)C)N,2.076566573,0.5178,0.540974494,7,101.084064,1,1,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Oc1cc([C@@H](F)C[C@H]2N(C(=O)O)C2)ccc1Oc1cccc(Cl)c1,3.51735789,4.6008,0.772200589,24,351.0673639,2,3,0,TRUE,1,0.333333333,0,0,0,0,2,0.666666667,0,0,0,0,0,0,0,0,0,0,3,
O=C(c1cccnc1)N=Nc1sccc1,2.85757228,3.0672,0.725670988,15,217.0309828,0,4,0,TRUE,0,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,2,
c1c(ccc(C(=O)NC(=O)OCC)c1)[C@H]1[C@@]2(CCO[C@H]2C[C@H]1C)C,3.73076165,3.4915,0.920616031,24,331.1783583,1,4,0,TRUE,0,0,0,0,2,0.666666667,1,0.333333333,0,0,0,0,0,0,0,0,0,0,3,
c1c(cccc1COc1ccc(NC2=NC=N[C@H](C2)CN)nc1)O,3.525752798,1.9359,0.77887481,24,325.1538748,3,7,0,TRUE,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,
C[C@@H]1C(=O)OC(=O)C=C([C@@H]1Cl)NCN[C@@H](CON)SC(=N)c1ccc(Cl)cc1N,4.973522086,1.54467,0.056606595,29,461.0691305,5,10,0,TRUE,0,0,0,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,2,
[nH]1oc(=S)[nH]c1=O,4.327009821,0.02549,0.472094047,7,117.9836983,2,3,0,TRUE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
c1cn[nH]c(=O)c1,2.546783587,-0.2301,0.484546582,7,96.03236275,1,2,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,
NC(=O)c1ncccc1,1.763220007,0.1805,0.577262792,9,122.0480128,1,2,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,
N(C1=NC=CC(=O)C1)C1=NC=C2C(=c3ccc(cc3=N2)C(=O)O)C1,3.980185981,0.2869,0.775719621,24,320.0909402,2,6,0,TRUE,0,0,0,0,1,0.25,3,0.75,0,0,0,0,0,0,0,0,0,0,4,
c12c(CCOC1=C1CCSC1)cncc2,3.264025426,2.5023,0.669056588,15,219.071785,0,3,0,TRUE,0,0,0,0,1,0.333333333,2,0.666666667,0,0,0,0,0,0,0,0,0,0,3,
c1cc(cnc1c1ccccc1)O,1.641363637,2.4542,0.714471346,13,171.0684139,1,2,0,TRUE,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,
[C@H]1(CCCC=C1)Nc1sc2n(cc(NCC3=CN=NC3)c2)n1,4.607939016,3.678,0.827405803,22,314.1313656,2,7,0,TRUE,0,0,0,0,3,0.75,1,0.25,0,0,0,0,0,0,0,0,0,0,4,
OC([C@@H](C=C=C(F)[C@H]1N(CNC(=O)N(CCC1)c1nc(sc1)[C@@H](N)[C@H](Cl)NCC(=O)N(C)C)CC)C(=N)C)O,5.78107949,1.31847,0.073836759,39,588.2409286,6,10,2,FALSE,0,0,0,0,1,0.5,0,0,0,0,0,0,1,0.5,0,0,0,0,2,
C1=NC2=C(Sc3c1sc1[nH]c(=O)ccc31)C(=O)N=CC2,4.133432772,2.3269,0.811179789,20,300.9979685,1,5,0,TRUE,0,0,0,0,1,0.25,2,0.5,1,0.25,0,0,0,0,0,0,0,0,4,
n1cc2c(CSC(=O)N2)cc1,3.158719567,1.8603,0.639238909,11,166.0200838,1,3,0,TRUE,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,
C1[C@@H]2[C@@H](C=C=Cc3nnc(OC4CC4)c(Cl)c3CC1)[C@@]2(O)C,5.287984431,3.1728,0.850960953,22,318.1135055,1,4,0,TRUE,2,0.5,0,0,0,0,1,0.25,0,0,0,0,0,0,1,0.25,0,0,4,
C1O[C@H](SS1)CN1C2=CC[C@H](N=C2NN1)CC,5.553585242,1.4711,0.758892717,17,272.0765531,2,7,0,TRUE,0,0,0,0,2,0.666666667,1,0.333333333,0,0,0,0,0,0,0,0,0,0,3,
c1c2c([nH]n(c3cccc(CNNO)c3)c2=O)ccc1,2.54852561,1.3022,0.5386159,20,270.1116757,4,5,0,TRUE,0,0,0,0,1,0.333333333,2,0.666666667,0,0,0,0,0,0,0,0,0,0,3,
O=C1CC=C([C@H]2N(NC=C2C1)C(=O)NNc1ccccc1)O,3.860301153,1.6006,0.622515042,22,300.1222404,4,5,0,TRUE,0,0,0,0,1,0.333333333,1,0.333333333,1,0.333333333,0,0,0,0,0,0,0,0,3,
C1=C(N=NC1)c1cccc(c1)NC1=NC[C@H](c2ccc(O)c(O)c2)C=C1,3.935160293,4.0685,0.731931738,26,346.1429758,3,6,0,TRUE,0,0,0,0,1,0.25,3,0.75,0,0,0,0,0,0,0,0,0,0,4,
c1cc(ccc1Cl)OC1=NN(CS1)C(=O)c1cnc(O[C@H]2OC2(F)F)cc1,3.775736927,3.5594,0.713241804,27,413.0048609,0,7,0,TRUE,1,0.25,0,0,1,0.25,2,0.5,0,0,0,0,0,0,0,0,0,0,4,
COc1c(O)cccc1,1.318797238,1.4008,0.612772549,9,124.0524295,1,2,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,
c1c(c2c(cc1)[C@@H](N(O)[C@H](F)C2)C(=O)C1=CC=C(CC=C1)C(=O)O)N,4.434209763,2.3192,0.574186223,25,344.1172352,3,5,0,TRUE,0,0,0,0,0,0,2,0.666666667,1,0.333333333,0,0,0,0,0,0,0,0,3,
c1(NN(NCOC2=NC(=O)CCC2)CO)cc(c(cc1)OC=C)O,3.894877827,1.0809,0.316600138,24,336.1433697,4,8,0,TRUE,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,
c1cc(cc(c1)[C@@H]1SCCC1)CNc1ccc(C)cc1,2.62426502,5.17522,0.829900431,20,283.1394707,1,2,1,TRUE,0,0,0,0,1,0.333333333,2,0.666666667,0,0,0,0,0,0,0,0,0,0,3,
N1=C2CC=CC=C2SC(=N1)C,4.139455625,2.3514,0.539054687,11,164.0408193,0,3,0,TRUE,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,
c12c(CCC)cnn2sc2c1C[C@@H]1[C@@]2([C@H]2OC2)C1,4.937713876,2.5609,0.793870531,18,260.0983341,0,4,0,TRUE,2,0.4,0,0,3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,5,
c1cc(c2cnc3=C4C(=c5c(=C4)cncc5C)N=c3c2)ccc1NNC(=O)CN,3.430005581,-0.75978,0.514701165,29,382.1542092,3,6,0,TRUE,0,0,0,0,2,0.4,3,0.6,0,0,0,0,0,0,0,0,0,0,5,
C1CC1OC1=NC2=NC[C@@H](O[C@@H]2S1)[C@H](C)O,5.089302309,0.7724,0.776653426,16,242.0725133,1,6,0,TRUE,1,0.333333333,0,0,1,0.333333333,1,0.333333333,0,0,0,0,0,0,0,0,0,0,3,
C12=C(OC3=CC=C(C=CC3=C2)C#CCC(=O)O)CN=C(C1)NCc1ccc(cn1)F,4.175448569,3.1814,0.757718613,30,403.1332197,2,5,0,TRUE,0,0,0,0,0,0,3,0.75,1,0.25,0,0,0,0,0,0,0,0,4,
C1=C(C=N)C(=O)NN=C(N)C1,4.369932644,-0.64553,0.435700175,11,152.0698109,3,4,0,TRUE,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,
OC(C)(CCCCc1nccs1)O,2.816028212,1.5567,0.561200699,13,201.0823497,2,4,0,TRUE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
N1=c2c(nccc2=C(C2=CCC3=CC=C(OC3=C2)N)C1)C,4.263776786,1.14462,0.837239261,21,277.1215121,1,4,0,TRUE,0,0,0,0,1,0.25,3,0.75,0,0,0,0,0,0,0,0,0,0,4,
c1(cccc(C(C)C)c1)C(=O)Nc1ccccc1,1.404350268,4.0623,0.85931727,18,239.1310142,1,1,0,TRUE,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,
c12[C@@H](CNCCOC)C=Cc2c(n[nH]1)NC(=O)c1ccc(cc1)NCC,3.329582407,2.4402,0.518793112,26,355.200825,4,5,0,TRUE,0,0,0,0,2,0.666666667,1,0.333333333,0,0,0,0,0,0,0,0,0,0,3,
c1(ccc(cc1)C=N[C@@H]1[C@H](CC[C@H]2C(=Cc3c(c(O)ccc3)F)N=CC2=O)C1)OC,4.314537599,4.4383,0.691330354,30,406.1692708,1,5,0,TRUE,1,0.25,0,0,1,0.25,2,0.5,0,0,0,0,0,0,0,0,0,0,4,
c1c(C(=O)O)c(ccc1c1cc2N=C3C=C(c4cn(nc4)C)C=C[C@H]3n2c1)O,3.858803308,3.573,0.735003922,28,372.1222404,2,6,0,TRUE,0,0,0,0,3,0.6,2,0.4,0,0,0,0,0,0,0,0,0,0,5,
c1(cc2[nH]cnc2cn1)N,2.743464062,0.5401,0.552163667,10,134.0592462,2,3,0,TRUE,0,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,2,
c1(ccncc1)c1ccc2NN(Nc2c1F)c1cnc2c(cccc2)c1,2.825265653,4.6099,0.556582453,26,343.1233237,2,5,0,TRUE,0,0,0,0,1,0.2,4,0.8,0,0,0,0,0,0,0,0,0,0,5,
[C@H]1(S[C@@H](S1)NC(=O)c1c(F)cc(cc1)[S@H](C)N)NC(=O)O,4.468163999,1.7339,0.529392377,21,351.0181325,5,5,0,TRUE,0,0,1,0.5,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,2,
s1c2c(cnnc2c2cnnc(c3c(cccc3)Cl)c2)nc1N,2.876956535,3.4459,0.600701267,23,340.029793,1,7,0,TRUE,0,0,0,0,1,0.25,3,0.75,0,0,0,0,0,0,0,0,0,0,4,
c1c(cccc1)c1cncnc1,1.645530023,2.1436,0.631772953,12,156.0687483,0,2,0,TRUE,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,
N#CC[C@]12C[N@@]1[C@H]2c1onnc1N,5.350351921,-0.32542,0.621898784,13,177.0650598,1,6,0,TRUE,2,0.666666667,0,0,1,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,3,
c1(cc(C(=O)NNC)sc2-c1nc1c2ccc(O)c1)F,2.920014422,2.11,0.632205025,20,291.0477758,3,5,0,TRUE,0,0,0,0,1,0.333333333,2,0.666666667,0,0,0,0,0,0,0,0,0,0,3,
c1(Cl)ccc(Cl)cc1,1.078264974,2.9934,0.528586339,8,145.9690055,0,0,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,
Cn1c2c(cc(cc2)N2OC2)nc1N,3.433032177,0.8646,0.677524916,14,190.0854609,1,5,0,TRUE,1,0.333333333,0,0,1,0.333333333,1,0.333333333,0,0,0,0,0,0,0,0,0,0,3,
O1[C@H](CN2[C@H]3C[C@@H]23)O[C@@H](CC[C@H](N)C)N1,5.450134801,-0.2261,0.61799023,15,213.1477268,2,5,0,TRUE,2,0.666666667,0,0,1,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,3,
S1O[C@H]([C@H](c2ccccn2)C)C=C1C,4.209443861,3.1359,0.695488269,14,207.071785,0,3,0,TRUE,0,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,2,
c1(ncc2NC(O)(O)Cc2c1)CN,3.577601288,-0.8533,0.423384487,13,181.0851266,4,5,0,TRUE,0,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,2,
OC(=O)c1cc(ccc1)C(=NC1=NC(=C([C@H]2CCC(=O)N=C2Cl)C1)F)NN,4.17545734,2.1519,0.238829177,27,391.0847452,3,5,0,TRUE,0,0,0,0,1,0.333333333,2,0.666666667,0,0,0,0,0,0,0,0,0,0,3,
Cn1c(cnc1C1=CC=C(Cl)CC=C1)C1=NC=C=C(NC(=O)C1)C,4.367467419,3.2115,0.840291543,24,340.1090888,1,4,0,TRUE,0,0,0,0,1,0.333333333,0,0,1,0.333333333,1,0.333333333,0,0,0,0,0,0,3,
c1cc(ccc1)[C@@H]1C(=O)N2CCC[C@@H]2S1,3.420702758,2.423,0.722691818,15,219.071785,0,2,0,TRUE,0,0,0,0,2,0.666666667,1,0.333333333,0,0,0,0,0,0,0,0,0,0,3,
